req_id,section,section_title,source_file,page,requirement,compliance_code,response_notes,exception_or_alternate,mapped,capability_id,capability_alias,capability_name,confidence,match_method,msi_products,support_level,owner,due_date,status,risk,comments
4.6.6,4.6.6,Antenna Support Structure Suitability and Design,erie-trunked-radio-system-2026-018.pdf,21,"During the Design Review phase, the Contractor shall be responsible for assessing the suitability of each",C,,,True,PSERS.INFRA.LIFE.PROJECT_MGMT,LMR.LIFE.PROJECT_MGMT,Project management,0.92,seed,Implementation & Integration Services:native; Implementation & Integration Services:partner; Implementation & Integration Services:native,native,,,Draft,,
4.6.6-02,4.6.6,Antenna Support Structure Suitability and Design,erie-trunked-radio-system-2026-018.pdf,21,The Contractor shall provide the County with a list of all antennas and associated equipment to be,C,,,True,PSERS.INFRA.SITE.ANTENNA_SYSTEM,LMR.SITE.ANTENNA_SYSTEM,Antenna system,0.92,seed,CommandCentral Suite:native,native,,,Draft,,
4.6.6-03,4.6.6,Antenna Support Structure Suitability and Design,erie-trunked-radio-system-2026-018.pdf,21,The Contractor shall make efficient use of the available tower space for antenna implementation.,C,,,True,PSERS.INFRA.SITE.ANTENNA_SYSTEM,LMR.SITE.ANTENNA_SYSTEM,Antenna system,0.92,seed,CommandCentral Suite:native,native,,,Draft,,
4.6.6-04,4.6.6,Antenna Support Structure Suitability and Design,erie-trunked-radio-system-2026-018.pdf,21,"Where space on existing towers is not available, Contractor shall implement a design that reuses",C,,,True,PSERS.INFRA.SITE.ANTENNA_SYSTEM,LMR.SITE.ANTENNA_SYSTEM,Antenna system,0.92,seed,CommandCentral Suite:native,native,,,Draft,,
4.6.7,4.6.7,RF Prevention Interference Certification,erie-trunked-radio-system-2026-018.pdf,21,"Contractor shall investigate the presence of any interference, through noise measurements or other",C,,,True,PSERS.INFRA.SITE.ANTENNA_SYSTEM,LMR.SITE.ANTENNA_SYSTEM,Antenna system,0.92,seed,CommandCentral Suite:native,native,,,Draft,,
4.6.7-02,4.6.7,RF Prevention Interference Certification,erie-trunked-radio-system-2026-018.pdf,21,The Contractor shall perform RF measurements of the noise floor and locally generated signals prior to,C,,,True,PSERS.INFRA.SITE.ANTENNA_SYSTEM,LMR.SITE.ANTENNA_SYSTEM,Antenna system,0.92,seed,CommandCentral Suite:native,native,,,Draft,,
4.6.7-03,4.6.7,RF Prevention Interference Certification,erie-trunked-radio-system-2026-018.pdf,21,Contractor shall design and incorporate the necessary RF filtering and shielding to contain,C,,,True,PSERS.INFRA.SITE.ANTENNA_SYSTEM,LMR.SITE.ANTENNA_SYSTEM,Antenna system,0.92,seed,CommandCentral Suite:native,native,,,Draft,,
4.7,4.7,Installation Planning and Site Preparation,erie-trunked-radio-system-2026-018.pdf,21,"Contractor shall provide all required documentation including, but not limited to, site preparation",C,,,True,PSERS.INFRA.LIFE.DOCUMENTATION,LMR.LIFE.DOCUMENTATION,As-built documentation,0.869,l2_overlap,Implementation & Integration Services:native,native,,,Draft,,
4.7-02,4.7,Installation Planning and Site Preparation,erie-trunked-radio-system-2026-018.pdf,21,The Contractor shall prepare a site-by-site work and installation plan detailing all necessary work and,C,,,True,PSERS.INFRA.LIFE.PROJECT_MGMT,LMR.LIFE.PROJECT_MGMT,Project management,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
4.7-03,4.7,Installation Planning and Site Preparation,erie-trunked-radio-system-2026-018.pdf,21,The Contractor shall prepare a site-by-site work and installation plan detailing all necessary work and the methods that will be used to accomplish the work.,C,,,True,PSERS.INFRA.LIFE.PROJECT_MGMT,LMR.LIFE.PROJECT_MGMT,Project management,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
4.8.1,4.8.1,General Documentation Requirements,erie-trunked-radio-system-2026-018.pdf,22,Respondent shall provide a description of its documentation repository database.,C,,,True,PSERS.INFRA.LIFE.DOCUMENTATION,LMR.LIFE.DOCUMENTATION,As-built documentation,0.869,l2_overlap,Implementation & Integration Services:native,native,,,Draft,,
4.8.1-02,4.8.1,General Documentation Requirements,erie-trunked-radio-system-2026-018.pdf,22,shall provide a description of its documentation repository database,C,,,True,PSERS.INFRA.LIFE.DOCUMENTATION,LMR.LIFE.DOCUMENTATION,As-built documentation,0.852,l2_overlap,Implementation & Integration Services:native,native,,,Draft,,
4.8.1-03,4.8.1,General Documentation Requirements,erie-trunked-radio-system-2026-018.pdf,22,County shall be granted the right to reproduce an unlimited number of copies of any documentation,C,,,True,PSERS.INFRA.LIFE.DOCUMENTATION,LMR.LIFE.DOCUMENTATION,As-built documentation,0.869,l2_overlap,Implementation & Integration Services:native,native,,,Draft,,
4.8.1-04,4.8.1,General Documentation Requirements,erie-trunked-radio-system-2026-018.pdf,22,shall be granted the right to reproduce an unlimited number of copies of any documentation,C,,,True,PSERS.INFRA.LIFE.DOCUMENTATION,LMR.LIFE.DOCUMENTATION,As-built documentation,0.869,l2_overlap,Implementation & Integration Services:native,native,,,Draft,,
4.8.1-05,4.8.1,General Documentation Requirements,erie-trunked-radio-system-2026-018.pdf,23,"Appropriate system final documentation, as requested by the County, shall be provided in both",C,,,True,PSERS.INFRA.LIFE.DOCUMENTATION,LMR.LIFE.DOCUMENTATION,As-built documentation,0.869,l2_overlap,Implementation & Integration Services:native,native,,,Draft,,
4.8.1-06,4.8.1,General Documentation Requirements,erie-trunked-radio-system-2026-018.pdf,23,shall be provided in both,,,,True,PSERS.INFRA.LIFE.DOCUMENTATION,LMR.LIFE.DOCUMENTATION,As-built documentation,0.641,l2_overlap,Implementation & Integration Services:native,native,,,Draft,Medium,
4.8.1-07,4.8.1,General Documentation Requirements,erie-trunked-radio-system-2026-018.pdf,23,shall be provided in 11” x 17” format.,,,,True,PSERS.INFRA.COV.COVERAGE_MAPS,LMR.COV.COVERAGE_MAPS,Predictive coverage maps,0.659,l2_overlap,Implementation & Integration Services:native; Implementation & Integration Services:native,native,,,Draft,Medium,
4.8.2,4.8.2,Maintenance Documentation and Manuals,erie-trunked-radio-system-2026-018.pdf,23,"Contractor shall supply suitable maintenance manuals for the purpose of allowing the County,",C,,,True,PSERS.INFRA.LIFE.DOCUMENTATION,LMR.LIFE.DOCUMENTATION,As-built documentation,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
4.8.2-02,4.8.2,Maintenance Documentation and Manuals,erie-trunked-radio-system-2026-018.pdf,23,maintenance manuals shall contain the following:,C,,,True,PSERS.INFRA.LIFE.DOCUMENTATION,LMR.LIFE.DOCUMENTATION,As-built documentation,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
4.8.3,4.8.3,As-Built Documentation,erie-trunked-radio-system-2026-018.pdf,24,"Similarly, the Contractor shall include existing equipment and components which it reuses as part of the",C,,,True,PSERS.INFRA.LIFE.TURNKEY_IMPL,LMR.LIFE.TURNKEY_IMPL,Turnkey implementation,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
4.8.3-02,4.8.3,As-Built Documentation,erie-trunked-radio-system-2026-018.pdf,24,The County will provide available soft copy documentation for updates by Contractor as available.,C,,,True,PSERS.INFRA.LIFE.DOCUMENTATION,LMR.LIFE.DOCUMENTATION,As-built documentation,0.869,l2_overlap,Implementation & Integration Services:native,native,,,Draft,,
4.8.3-03,4.8.3,As-Built Documentation,erie-trunked-radio-system-2026-018.pdf,25,"As-built documentation shall include, at minimum, the following:",C,,,True,PSERS.INFRA.LIFE.DOCUMENTATION,LMR.LIFE.DOCUMENTATION,As-built documentation,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
4.8.3-04,4.8.3,As-Built Documentation,erie-trunked-radio-system-2026-018.pdf,25,"shall include, at minimum, the following:",,,,True,PSERS.INFRA.LIFE.DOCUMENTATION,LMR.LIFE.DOCUMENTATION,As-built documentation,0.731,l2_overlap,Implementation & Integration Services:native,native,,,Draft,Medium,
4.8.3-05,4.8.3,As-Built Documentation,erie-trunked-radio-system-2026-018.pdf,25,as-built final documentation shall be submitted prior to Final System Acceptance,C,,,True,PSERS.INFRA.LIFE.ACCEPTANCE_TEST,LMR.LIFE.ACCEPTANCE_TEST,Acceptance testing,0.92,seed,Implementation & Integration Services:native; Implementation & Integration Services:native,native,,,Draft,,
4.8.3-06,4.8.3,As-Built Documentation,erie-trunked-radio-system-2026-018.pdf,25,All as-built final documentation shall be submitted prior to Final System Acceptance.,C,,,True,PSERS.INFRA.LIFE.ACCEPTANCE_TEST,LMR.LIFE.ACCEPTANCE_TEST,Acceptance testing,0.92,seed,Implementation & Integration Services:native; Implementation & Integration Services:native,native,,,Draft,,
4.8.3-07,4.8.3,As-Built Documentation,erie-trunked-radio-system-2026-018.pdf,25,shall be submitted prior to Final System Acceptance.,C,,,True,PSERS.INFRA.LIFE.ACCEPTANCE_TEST,LMR.LIFE.ACCEPTANCE_TEST,Acceptance testing,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
4.9,4.9,Training,erie-trunked-radio-system-2026-018.pdf,25,"Contractor shall develop a comprehensive training program for the management, operation,",C,,,True,PSERS.INFRA.LIFE.TRAINING,LMR.LIFE.TRAINING,User & tech training,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
4.9-02,4.9,Training,erie-trunked-radio-system-2026-018.pdf,25,Respondents shall provide a high-level overview of the proposed training plan.,C,,,True,PSERS.INFRA.LIFE.TRAINING,LMR.LIFE.TRAINING,User & tech training,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
4.9-03,4.9,Training,erie-trunked-radio-system-2026-018.pdf,25,shall provide a high-level overview of the proposed training plan,C,,,True,PSERS.INFRA.LIFE.TRAINING,LMR.LIFE.TRAINING,User & tech training,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
4.9-04,4.9,Training,erie-trunked-radio-system-2026-018.pdf,25,shall be structured to accommodate all County and designated personnel,C,,,True,PSERS.INFRA.LIFE.TRAINING,LMR.LIFE.TRAINING,User & tech training,0.886,l2_overlap,Implementation & Integration Services:native,native,,,Draft,,
4.9-05,4.9,Training,erie-trunked-radio-system-2026-018.pdf,25,Training shall be structured to accommodate all County and designated personnel.,C,,,True,PSERS.INFRA.LIFE.TRAINING,LMR.LIFE.TRAINING,User & tech training,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
4.9-06,4.9,Training,erie-trunked-radio-system-2026-018.pdf,25,"Contractor shall complete all training activities prior to, but as close as possible to, the Final System",C,,,True,PSERS.INFRA.LIFE.TRAINING,LMR.LIFE.TRAINING,User & tech training,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
4.9-07,4.9,Training,erie-trunked-radio-system-2026-018.pdf,25,Training programs and corresponding material shall be flexible and customizable for the County staff to,C,,,True,PSERS.INFRA.LIFE.TRAINING,LMR.LIFE.TRAINING,User & tech training,0.92,seed,Implementation & Integration Services:native,native,,,Draft,,
